%eval_id interface         m_root          m_top         p_root          p_top         t_root          t_top    my_function  my_constraint 
1            NO_ID              0              0            0.4            0.4           0.12           0.12   0.0022306491     0.23869225 
2            NO_ID  0.04734300044  0.04380843567   0.4535131609   0.3956949956   0.1310270022   0.1208253498    0.016320329    -0.20640641 
3            NO_ID 0.008324524787  0.01028810193   0.3485164454   0.3158969998   0.1433067286   0.1461881784   0.0041839178     0.15118751 
4            NO_ID  0.03908158736  0.04423872507   0.3810089448    0.417335107  0.09790044198   0.1427283099    0.014283654    -0.15019238 
5            NO_ID 0.003360885057  0.03639515805   0.4736856247   0.4342946285   0.1114374645  0.08946587582   0.0071498258      0.0662249 
6            NO_ID  0.03783917447  0.01300539317   0.4265718643   0.3933236458   0.1116801433   0.1081683541   0.0083217565    -0.01047885 
7            NO_ID  0.01109145878  0.01414770431   0.4218654054   0.4918683111   0.1257464528   0.1306323172   0.0050839344     0.11348313 
8            NO_ID  0.04096744533  0.03985361794   0.3790268723   0.3046432328  0.09358503852   0.1337424403    0.012737557    -0.12206143 
9            NO_ID  0.02799639338  0.03538347091   0.4599822334   0.3213964639  0.08362926338   0.1070296339   0.0098198969    -0.04246926 
10           NO_ID  0.04075466401  0.01363801251   0.3563052475   0.4222943683  0.08050668459   0.1258478946   0.0083598755    -0.01128924 
11           NO_ID 0.003975215929  0.01145411227   0.3370599779   0.3670477949   0.1053013419   0.1396533336   0.0037497275     0.17202705 
12           NO_ID  0.03826989575 0.002137905314   0.4270984293   0.4433006101  0.09867389679   0.1221833316   0.0069455095     0.03514785 
13           NO_ID  0.01089587489  0.02696930728   0.3925896721   0.4546196434   0.1123210267  0.09949541428   0.0065675913     0.06792012 
14           NO_ID  0.04244838785  0.03005459974   0.4106310458   0.4759874962  0.08764711489  0.08506001097    0.011505811    -0.09658998 
15           NO_ID  0.04543174116   0.0212737087   0.4888886623   0.3517473312    0.121088615   0.1063515977    0.011389612    -0.09801996 
16           NO_ID 0.0009299241011  0.02923436669   0.4680039237   0.3419458013   0.1440789885   0.1055597191    0.005633974     0.11183646 
17           NO_ID  0.04442780018  0.04803755691   0.3688757559   0.4948288633   0.1110471921   0.1101568419    0.016562669     -0.2016148 
18           NO_ID  0.03288731465   0.0370972864   0.4763703473   0.3564267388   0.1374695814   0.1112539133    0.011949309     -0.1007396 
19           NO_ID 0.003229465547   0.0276274427   0.4377176265   0.3201484884  0.09247572343    0.109483763   0.0053331126     0.11664101 
20           NO_ID 0.002574677906  0.02261157062   0.4306699721   0.4702207818   0.1152381869   0.1282068551   0.0052446951     0.12180614 
21           NO_ID  0.02329597556  0.03546118987   0.4848726121   0.4539910722   0.1247828451    0.105276904    0.010277773    -0.04879105 
22           NO_ID  0.04923220254  0.04562800806   0.3797257314   0.4503674315  0.08889746102  0.09962743929    0.015867172    -0.19347495 
23           NO_ID  0.02740868897 0.007835528305     0.46689687   0.3356936166   0.1159151035  0.09514408182   0.0060637547     0.06406942 
24           NO_ID 0.004702264306  0.03095618306   0.4222749177   0.3745417916   0.0883617808   0.1264498446   0.0062583946     0.08915311 
25           NO_ID  0.03038400825  0.01402667976   0.4856267079   0.3280791924   0.1244456074   0.1073234741    0.007546667     0.01513141 
26           NO_ID  0.01830668802  0.03050552333   0.3253226061   0.4970399465  0.09763352312   0.1366230059   0.0085605429     0.00834626 
27           NO_ID 0.009185414509  0.02926166064    0.302921241   0.3972968887   0.1040829683   0.1024481753   0.0064100968     0.07613856 
28           NO_ID  0.04034441087  0.01851356117    0.329690014   0.3000657347   0.1166811044  0.08932154984   0.0087268967    -0.02294934 
29           NO_ID 0.005205851027  0.04473821704   0.3608554989   0.4983706558  0.08546427874     0.14813273   0.0099204313     0.00352994 
30           NO_ID  0.03342320017  0.04372529254    0.463967194   0.4966298752   0.1354090863   0.1305137222    0.014578882    -0.15336096 
31           NO_ID  0.01723543809  0.02600800089   0.3658837566   0.4082979477   0.1372622029   0.1258449312   0.0073819868     0.03638768 
32           NO_ID  0.01839888919  0.03013054988     0.31660757   0.4234290572   0.1052577956   0.1077707254   0.0078409798     0.02378255 
33           NO_ID  0.03755796956    0.036794437   0.3164103833   0.3093122972   0.1191227929   0.1067798186    0.011270293    -0.08572769 
34           NO_ID  0.04172205191   0.0225264826   0.3103719845   0.4219442688   0.1210637468   0.1083923303   0.0099549154    -0.05631012 
